fingerprint,llm_score,llm_label,is_relevant,model,prompt_version
000188ca8a721474c40d8ae6c6f77514d96348945fa41cc6badd08eaa138dbca,,中性,false,codex,sentiment-v1
00024ac7d34fb11c5e9f14a4debcda2bb37525e548268ae2fded834f496d68a0,-0.7,負向,true,codex,sentiment-v1
00086f71f9a176f51374888e088d7c4a1f39f5ce946d912cfb31ad79d6fbdec4,-0.6,負向,true,codex,sentiment-v1
000876e6e7a39ae17b73ebeaff30bf89f138884cb7fb8c26c7070088d8b2a598,0.25,正向,true,codex,sentiment-v1
00087e8451ac701fa2eb57f23df1b6e3a455eb1af5784d77555a10fffbbe8040,,中性,false,codex,sentiment-v1
000d6a99e20fa625d3014ed70c533f4d4498f61b358a1a7f5d110bcf48cef66b,,中性,false,codex,sentiment-v1
000e311f6292d2693a74a6f8cfd890d935540efde3f3327f79a4f3cc90893fa9,-0.6,負向,true,codex,sentiment-v1
001087aa7cca657644decc2c9b0b8175b2e8ddba0d68325195e2398311a3b7be,-0.4,負向,true,codex,sentiment-v1
00121b40d6ee49a84cf6b4a634c3a6ce9d7101dcbf9ec503529b2b34c80f893e,,中性,false,codex,sentiment-v1
00130a85c45d0474b081031a21d911cb9c9efabbbb330a74df086d6b793abd8c,,中性,false,codex,sentiment-v1
0013674117315dd3e97aba568c8c3b8e9f533a58aa7f65e581fc9cc7470d5882,0.6,正向,true,codex,sentiment-v1
00148486a9e78bad44286c1c71d6aa1c2c80b96317104deaa5b55234ec07fef8,0.6,正向,true,codex,sentiment-v1
001501980126a5b0365fcefd11fd98a70d554b9d37f9982517625e09cbe8f922,-0.2,負向,true,codex,sentiment-v1
00175a3c0c12e34d7de135ecd1f725403fb0757d1a2e9966bc35dcf4be35374c,-0.5,負向,true,codex,sentiment-v1
001885ab4af5811f2fa8b89f542e5906602ea17b307390d475b5cab647881680,-0.45,負向,true,codex,sentiment-v1
001af5da17a411e7d8e92bd5c540b5020d71bb063e87c3e1ff63d3b75755a040,-0.5,負向,true,codex,sentiment-v1
001c51e738f9ff3114deb782e0a7b40ea75413cf803353bb33fb56e2a6835403,0.7,正向,true,codex,sentiment-v1
001d9359aab44a4ed2446ad8a2a35cbdc8f2ab980cc05245863686155ba96c23,,中性,false,codex,sentiment-v1
001db21a45b9b4f418bb9cd7255c68fa1020c8b8b6100f6b937e346dbbdc039f,0.3,正向,true,codex,sentiment-v1
00209402915a4ece4e369133ad88bf78d5afdc6ae44019c85a3e51d90a7b5535,,中性,false,codex,sentiment-v1
0022430f4f23c77c6ad3b7b49b87a844da5d367a9837651ef3e98530e7f5941c,-0.6,負向,true,codex,sentiment-v1
00234098fdcf9b37de3110227bbc2c096afac5299ad0182b0159d02a760aab67,,中性,false,codex,sentiment-v1
00256c593045f61fefc7a9e669caad3316bc47dfa73d29d4ca39c39afde30724,,中性,false,codex,sentiment-v1
0025edbfd958257bb16d86594efbfaa89055663a39034d68d1a9f3b2d169c139,0.4,正向,true,codex,sentiment-v1
0026a9e5233e683a942cb67350f90899aadd5bc682c16eaa8e6e8d3f3f1bc062,0.3,正向,true,codex,sentiment-v1
00296c9634d88c61b830ce7d964b27fbeb8f490a3ddca1014ed00a11fa0f17b1,0.2,正向,true,codex,sentiment-v1
002ce526ff906511b624d681d55acdf6574bc133bf66f3214768d7c6ebe35491,0.5,正向,true,codex,sentiment-v1
002d6ebdfe80f27f7c94a51f74907733d81a5ae4957d60ab138df855d227201c,0.7,正向,true,codex,sentiment-v1
002d834a1c76e0512eec21c0cb667b0ca353a68dd5a9294c811aa13c7f35c670,,中性,false,codex,sentiment-v1
002e2dc785b230a45a0bc3f0e8e5769580a989ffbebf4ccb1230bc341608a857,-0.4,負向,true,codex,sentiment-v1
0030b0a92c45976b073c22663a037149acc2d7b9c25924b5ef0581a773be202f,-0.5,負向,true,codex,sentiment-v1
00326dfbedfec92706fcde27cb585f727e48c52f882b11862a6547ad3325a04a,-0.8,負向,true,codex,sentiment-v1
0033367fc7b0df147c1321cb48af4bccf03ebd81d119aafd3de5c34b4f36b6b3,0.6,正向,true,codex,sentiment-v1
