留言內容,llm分數,llm判定
感覺沒什麼芋頭味,-0.2,中性
"我吃的感覺相反,沒啥芋頭味,反而覺得太甜",-0.35,負向
很像小美冰淇淋那種,0.1,中性
我覺得芋頭是近幾期最佳 口感較有乳霜感 味道也不錯我也給85分以上,0.8,正向
"如果甜度沒那麼高,那就會想試試耶",0.1,中性
芋冰口味霜淇淋,0.0,中性
樓上大大形容到我想說的點XD,0.0,中性
"https://i.mopix.cc/Cgk7md.jpg買完才到這篇文,希望還不錯推錯版 拍謝",0.1,中性
以為會是紫芋頭那種,0.0,中性
也有領到券還沒去買,0.0,中性
#1dlAFC9C600壯士之一https://reurl.cc/9Wl9xn,0.0,中性
這個會微甜嗎 ?,0.0,中性
我有買 還5杯 覺得很普沒有奶多的感覺,-0.2,中性
燈箱好可愛,0.0,中性
觀望,0.0,中性
今天買早餐有看到 看來明天可以買來試試看,0.1,中性
還在觀望,0.0,中性
想知道特濃拿鐵有甚麼不一樣,0.0,中性
"特濃是咖啡味重,厚奶是奶味重吧",0.1,中性
這個和小七的誰好喝呢,0.0,中性
59都快可以買一瓶鮮奶了!,-0.1,中性
感覺好像不錯 之後買來喝喝看,0.3,正向
感覺很讚,0.5,正向
"玉米濃湯控+1,每次補貨都會買很多玉米濃湯口味的零食",0.3,正向
記得7-11目前好像有二件8折、三件77折,0.0,中性
會回購+1 乖乖好會還原各種口味XD,0.8,正向
全聯也有喔,0.0,中性
謝謝分享 我明天來去買,0.2,中性
地瓜球口味好難買,0.0,中性
"兒子們這禮拜考完試,買來給他們端午節邊吃邊看足球。",0.0,中性
好奇吃起來有玉米濃湯棒的感覺嗎哈哈,0.0,中性
"平常下班之後,都會買來吃的小確幸,最常吃五香的",0.2,中性
"這麼強,來個麥克雞塊,沾糖醋口感試試(逃",0.0,中性
"今天買了,基本上就是小根的玉米濃湯棒",0.4,正向
哇 好像很讚,0.4,正向
地瓜球口味在全家,0.0,中性
很刷嘴,0.7,正向
"去買了 好吃!全聯一包24還26,有點忘了(汗",0.8,正向
有空去買!,0.2,中性
這感覺好好吃,0.3,正向
昨天確實有看到!擺在 展示架上+一堆泡麵旁,0.0,中性
那個香精味吃完還留在嘴巴裡 嘔嘔嘔,-0.9,負向
呃 之前有送過券 還好沒買,-0.4,負向
真的不好吃,-0.8,負向
1+1買過...真的雷,-0.8,負向
感謝分享避雷,-0.6,負向
吃一口就忍不住發文的難吃,-1.0,負向
"這次桃子系列都沒吃,那個半顆桃子的塔可能比較好吃?",0.0,中性
你分數也太高,-0.5,負向
"之前有券1+1,超後悔買,當初有搜尋都沒人分享QQ",-0.8,負向
"這個真的不好吃。無腦支持香精桃子的我,實在也推不下去,吃起來實在有點難以言喻",-0.9,負向
就是搜尋之後發現沒人發文才特地發這篇的警世文真的太難吃了QAQ,-1.0,負向
就這樣還有20/29分嗎XD,-0.4,負向
畢竟人還活著,-0.2,中性
這真的難吃,-0.8,負向
被嫌成這樣我反而有點好奇了,0.0,中性
桃子塔跟冷藏的桃子蛋糕都不錯啊,0.0,中性
我現在也搞不清楚我為啥那時候會給這麼高分了可能當下精神打擊太大惹我覺得後作用力蠻大的當下不知道那個味道會留在味覺這麼久可是我喜歡蜜桃味香料水這個蛋糕和那個香料水的感覺很不一樣,-0.7,負向
桃子塔好吃,0.0,中性
"很好吃啊,不能只有我吃到,嘻嘻",-0.5,負向
桃子塔好吃+1 有時看到乞丐時光會撿,0.0,中性
"甜點櫃的比較好吃,麵包的就算了",-0.4,負向
滿滿的香精味,-0.5,負向
"桃子塔好吃,就是很少遇到",0.0,中性
"桃塔不錯,吃麵包也可以",0.0,中性
"我覺得很好吃耶,但只限定買一送一時XD",0.4,正向
印象重量很輕,-0.1,中性
配咖啡當下午茶蠻好吃,0.5,正向
歐阿冰那要吃,0.3,正向
第一次吃很像小美...,0.1,中性
我倒覺得有種把噗冰感,0.1,中性
不是紫色的芋頭冰看了真不習慣XD,0.0,中性
欸說真的過往芋冰全紫有可能加了色素~還是偏白色最天然!,0.2,中性
真的芋頭冰是白的...紫色是加色素,0.0,中性
真的芋頭冰不是明顯的紫色,0.0,中性
好吃!吃兩隻了,0.8,正向
沒有跑大地嗎?曾經為了一支快到期的行取雪淋霜跑了很多家都剛好在清潔機器:~,0.0,中性
有點燒,0.3,正向
"好吃,芋頭味道淡淡的",0.6,正向
真的好吃 沒有化學感 很像小時候芋頭磚,0.8,正向
不錯吃 像以前吃的那種風味,0.6,正向
看了有點想吃,0.3,正向
好吃但還是偏甜(平常喝手搖都無糖,0.4,正向
"這麼個說法,突然有點像買來吃吃看",0.3,正向
這款應改名叫蒜頭麵,-0.2,中性
肉骨茶分白湯 黑湯 這碗是標準的白湯風格 個人蠻喜歡的,0.6,正向
"鹹不鹹個人口味問題,而且多加點水不就好了",0.0,中性
你還給70分這麼高,-0.3,負向
"79元吃不起,我只吃買一送一的泡麵,再搭配雞珍雞心",-0.2,中性
"這個蒜頭實體超多,詹姆士在節目做菜超級喜歡+胡椒粉,無腦+的那種",0.1,中性
那個詹姆士廚藝好嗎?不是餐廳都倒了?,0.0,中性
"蒜頭沒多貴,喜歡的話自己額外加就好了,何況新鮮的蒜頭蒜味才重",0.0,中性
詹姆士有開過餐廳喔? 廚藝應該還可以 算不算很強不知道餐廳他也不太可能自己親自掌廚 倒了應該跟他廚藝無關吧他真的很喜歡加胡椒 之前全聯合作好像也是加滿重的,0.0,中性
"不是胡椒鹽的話,單純胡椒應該就是真愛",0.0,中性
好吃 麵體也好吃,0.8,正向
"詹姆士廚藝應該不錯,會台、日跟西式料理,有跑到大陸做美食節目有大陸粉絲",0.0,中性
覺得這款超不行的==,-0.8,負向
以前在台北做日式燒烤 好像,0.0,中性
泡麵粉包本來就不用都全下 可以先看鈉含量斟酌,0.0,中性
詹姆士就胡椒狂加,0.0,中性
"蒜味真的超重,不到難吃,但吃過一次不會想回購",-0.3,負向
我怎麼記得這個人爭議蠻多的,0.0,中性
他餐廳真的很雷十幾年前吃過,0.0,中性
"想吃看看,我很愛吃泡麵",0.2,中性
鈉含量跟滿漢大餐也沒差多少吧,0.0,中性
這種都味丹代工的 等行動購出清再買,0.0,中性
"胡椒包覺得太多倒半包就好啦,還不錯",0.5,正向
這款我覺得好吃!,0.8,正向
這個就完全是胡椒粉湯,-0.2,中性
"我記得肉骨茶有兩種不同類別,一種是胡椒蒜頭,另一種是就是中藥的,來源不同好像是其中一種是新加坡?我很愛蒜頭胡椒版本的肉骨茶,會有興趣",0.3,正向
這款真的不好吃推2F,-0.8,負向
蒜味和麵體是我喜歡的,0.6,正向
"我喜歡蒜跟胡椒,立刻去買來吃吃看",0.3,正向
"肉骨茶本來就會加一堆蒜頭,一小鍋就要加一整球蒜了不管是新加坡的胡椒肉骨茶還是馬來的中藥肉骨茶都是",0.0,中性
等一下來屯2碗就好,0.2,中性
覺得不錯吃,0.6,正向
焦糖布蕾口味居然不會很甜 下次來試試看,0.3,正向
有很大?,0.0,中性
沒有粽葉的不能稱粽(個人偏見w),-0.1,中性
3D油飯,0.1,中性
"普通,不會想回購",-0.4,負向
真正的3D油飯,0.1,中性
油飯裝肉粽不夠 還要裝飯糰==,-0.3,負向
"其實口感不油飯,我買的口感有點軟爛",-0.4,負向
