fingerprint,rewrite,source_text,verdict,model,prompt_version
0005a467337d58317f00d18bfb1ee539537d67857b236f1a4655b40c206016ac,吃起來很乾,我覺得超乾耶~~被包裝吸引了,grounded,gpt-5.6-luna,grounding-v1
0327fb81d66139a2640e800a8fe4fdd8447325a0febd2a5155e78a1e86454ee5,無糖奶青茶香較重，奶味偏淡,但口味就沒有那種韓式辣醬味還是我醬加太多吃不出來QQ但酸黃瓜醬真的好好吃XD。,ungrounded,gpt-5.6-luna,grounding-v1
04a4e8b1c1329d71dd2824215a8213ac30b921cd22c963940b44ce6aba7097ef,巧克力味太淡,"吃了個寂寞..QAQ 好淡,不知道是不是我這家的關係",grounded,gpt-5.6-luna,grounding-v1
057a1ed61bf0678faca5e0df3fd774c0cf11db2760f3d88e44676c4d0e64342b,霜淇淋份量偏少,這個量真的可以扣20分,grounded,gpt-5.6-luna,grounding-v1
084be1e25c489a37aa0fef8cc5a49f34f013bc1648094d9edc2dc5164781aa76,鈉含量讓人猶豫,"椒麻很好吃,可是那個鈉看了都要思考好幾下",grounded,gpt-5.6-luna,grounding-v1
08f833027c39c6b21b483a32e063949b9b9824b7cb9e0135db7df1895d91af0a,咖哩醬充足，雞肉口感不錯,我覺得很好吃耶~但肉是真的少而且你把他倒扣了馬鈴薯跟紅蘿蔔被蓋住了啊 我在店裡微波的開蓋他們就在那 雖然切很小款 但不會懷疑消失,ungrounded,gpt-5.6-luna,grounding-v1
0a3e755125d2c3af8a1d4c9d924cd7d30576794b3206c9cad042c89f44989611,雞肉口感偏柴,這家我覺得柴耶,grounded,gpt-5.6-luna,grounding-v1
0a7141d102152d776a560f51a78d68e1ad968b9c43ed84f1e373c84ed76b699e,六五折時值得買,"個人認為,友善6.5折=36nt,才有80",grounded,gpt-5.6-luna,grounding-v1
0dead6012bc2a4c2e3729aeac1bdbffea16bb77eb7b328636949f1a530ff846b,芋泥甜度偏低,但個人比較喜歡甜的口感。,grounded,gpt-5.6-luna,grounding-v1
0e1ac96bf6aeca2f0593aa69edf2652fb37c2620cd9a93c93927a7bdff6906c1,起司口味偏鹹,這好吃但蠻鹹的,grounded,gpt-5.6-luna,grounding-v1
0e4f2db2bbeb1b8ec3237c7d09cf45cf665cd34b5ca695a8f46f32c2e90587ed,CP值偏低,感覺cp 太低,grounded,gpt-5.6-luna,grounding-v1
10273bfebb8def022894324caaf087c6fde41404a3e1a5ff631d730210d04761,價格微妙，買其他飲料更滿足,推,ungrounded,gpt-5.6-luna,grounding-v1
1180cec295b0c32c95f07a416c75df8f3d4fca306b56ce060dc47bd931845db0,豬排有三塊而且很厚,不得不說 真的有厚。,ungrounded,gpt-5.6-luna,grounding-v1
145b8b8c29d6c280fd4e44e29ef6629d6978d5a7658045d5021a390de3dc97cc,價格偏高,為何涼麵現在會這麼貴,grounded,gpt-5.6-luna,grounding-v1
1ab5166ff709c7eabb5c3414451772657aeaf05d5b4f616371239280c45eadc6,兩種口味分開比較好,"沒有不好吃但蜂蜜味為主要,有單吃芋頭芋頭味本身也不重",ungrounded,gpt-5.6-luna,grounding-v1
1ac8af74247fec4d89efd3bbfd4fde7bd08c880db3568fa093f76ad453d1a9d3,葡萄奶酥聞起來很香,昨天搭車碰到在吃的人 超~香XD,grounded,gpt-5.6-luna,grounding-v1
1b04e6e7698fd346f3c1ed0e09bb0c534d79cbb6c65dd2344bd474031b6c4334,肉嫩，帶微微酒香且夠味,肉很好吃 這種飯糰可以直接不拆加熱嗎,ungrounded,gpt-5.6-luna,grounding-v1
1bcb12794a6cdcd08ce631c42140ddf2a3f7735935262428a2c7b806e3f8ec15,價格偏高,有夠貴,grounded,gpt-5.6-luna,grounding-v1
1f6a587c6e2283a8e6374b83626fa735a71b39b3c69264906045e071f2b368af,荔枝香氣明顯,很香。,grounded,gpt-5.6-luna,grounding-v1
24a30774a7f463f9cf98f0beef569bb13a9dcf952c3caba709a9a6bd8fc88e7d,乳酪餡帶淡花香，麵包有些鹹味,"可頌外型看起來胖胖的有點可愛。
吃的時候一直在想鹽可頌的”鹽” 在哪。",ungrounded,gpt-5.6-luna,grounding-v1
25ca1611c494a501ca098d0741237a28a7ba332c21bec567135a488b02bab4cf,外觀很像炒麵,先不論味道，實際擺在店裡的實品是真的很接近模仿的食物。,grounded,gpt-5.6-luna,grounding-v1
273eb053099d98bc451df3c6555ea7293f4d022d3fdc59c6bd0af359ffe541fb,芝麻牛奶濃郁，喝到第三口覺得膩,馬來貘包裝太可愛忍不住買來試試。,ungrounded,gpt-5.6-luna,grounding-v1
295c66181eba8437cedbacebc6f470687d9c543e6545dc1acb322e8e84fa3d7b,調味不錯，米飯表現合預期,餡料部分蠻濕濡，有加洋蔥提味，醬汁部分甜鹹甜鹹的，也有小小微辣肉的份量也很對得起價格，吃起來不柴，好吃。,ungrounded,gpt-5.6-luna,grounding-v1
2975a4ba6ba0bb869f3c68b1fb71bee46f57ab3630425accd5829f66b15cdd91,價格偏高,好貴,grounded,gpt-5.6-luna,grounding-v1
29bef6185381f6c8d9b869f7f37d0f0638b52d2a692f160081f9f7ece65b3d4d,封膜難撕，蓋子也難蓋,然後這種飲料包裝真的超討厭...。,ungrounded,gpt-5.6-luna,grounding-v1
2b6a43ab2dc48ae9f90edd0024fe78ffc80dd61cd231bf5b7cfbfaff9f27b28b,杯子蛋糕份量小,小小一個 很簡。,grounded,gpt-5.6-luna,grounding-v1
2bf5ddfd55d3cd29232ff401e50cb007ab29eb4a95142cba2e0bbadff00f9baa,常會不自覺買這款,墨西哥奶酥是我每次想吃別種麵包的時候 他莫名其妙就出現在我手上 很玄,grounded,gpt-5.6-luna,grounding-v1
2cbeecbc17b44024ca172ca0db69fb98543683dfa6166c6035b18cbd6a4edd7f,加價5元也能接受,多五元還行,grounded,gpt-5.6-luna,grounding-v1
33dcc222954e7cbbbfaabff8ceff90a4f18d3e423cf9ba930329c04acf5348da,三入份量剛好，能應付下午嘴饞,這款也是不錯 第一次吃有驚豔到,ungrounded,gpt-5.6-luna,grounding-v1
344b068edc9591b6ed29b75667061abe7b0ff4b33787faa6be59803ba04cb6cb,烤過口感不錯,這個烤一下 螞蟻人喜歡,ungrounded,gpt-5.6-luna,grounding-v1
36631f699a2a83634ce9e9237adba986e195041146afde1e24263a3500a34173,適合特殊口感愛好者嘗鮮,有興趣的很推薦買來吃吃XDD。,ungrounded,gpt-5.6-luna,grounding-v1
3790a16eb154913afc8999f186b6d6cda2b65219bd4f0dac8ec093e31f2272d5,巧克力偏甜,吃起來頗甜 中間薄荷夾層如想像中。,grounded,gpt-5.6-luna,grounding-v1
38b9f54d24f2cfd84770b6b34046384f2c7e32eec11e188db758098f6ff12f5c,每支霜淇淋份量不一,為什麼有的冰淇淋肥肥的有的瘦瘦的,grounded,gpt-5.6-luna,grounding-v1
3ab5498c0f3750183c437bc03492b4d96049bc970bb966cfd4d6a877e6e1f00d,酒感低、很好喝，但很難買,"內容物有義大利麵 幾根紫高麗菜絲 南瓜塊。
小番茄 重點。
就其實還滿夠。",ungrounded,gpt-5.6-luna,grounding-v1
3adb04b8a50edb57b4b2ab0ac928e2df69620bc4e4fec695a99e52497edfe4ea,奶霜油膩，上顎黏膩,倒是口感非常膩口。,ungrounded,gpt-5.6-luna,grounding-v1
3d6f55de48e67afbceb7cc5a602655ec22e76f12f1febdef819c935ab646b2c5,泡芙份量太小,超小顆 有夠慘,grounded,gpt-5.6-luna,grounding-v1
3f246341ae664552d21ecbc6139df797956afd9b885db492f93bb504ba765ba0,味道怪，不像四季春,真的難喝 山苦瓜還有甘甜感 這款不知喝三小,ungrounded,gpt-5.6-luna,grounding-v1
480c2b4d51191747fe848bf2ad80b61bc66baa375e411b52411d6f08d8bb5944,喝起來偏甜,好甜,grounded,gpt-5.6-luna,grounding-v1
495035ae9b9331170a508481d7ba9a9a04c9e1a5d1dca36ae1997a6dd9e3d307,豆漿口感濃郁,濃。,grounded,gpt-5.6-luna,grounding-v1
4a13dd05672d04e0a0b1edc48ee8ae107113e51ae5bab95347649b160d927988,芋泥有顆粒，搭肉鬆鹹甜,好吃推 兩邊芋泥不一樣 一邊吃得到塊狀 另一邊感覺混奶油比較多,ungrounded,gpt-5.6-luna,grounding-v1
4bb42983e34696a2318c3172b67adca22cf4e575600ce8acd9ed505131aa1d84,飯糰口味偏鹹,711這款對我來說稍鹹。,grounded,gpt-5.6-luna,grounding-v1
4d0eed0b57fbf62358c09c6e8e8ed020ee237d1a7c7b18d77e355f6c7991aba0,喝不出特別的生可樂感，代糖味重,"第一口就是 哪裡生。
第二口就是 啊是代糖啊。
以及太代糖。",grounded,gpt-5.6-luna,grounding-v1
4f957554846852347a9727703fd3f257e8a261401ffec704e99b99c8db8b2183,六十九元太貴,好貴欸,ungrounded,gpt-5.6-luna,grounding-v1
530f23392b281eb773d0eefc0488b9d39623cc5072af1e9f27a556ab0e54f757,價格高且尺寸大，適合分食,它真的貴又大 兩人一起吃比較剛好,grounded,gpt-5.6-luna,grounding-v1
553936cb6dd837ffc2868eb970087ec2b9406967d7ea3392a34faddc2cf8df62,甜度偏高，較難接受,"這款我覺得超甜,少數奶酥類我齁不住的",grounded,gpt-5.6-luna,grounding-v1
57324df932628e4b6b32793c0c48c07f0c321804209c5d4f79ca8510bb844c6c,用點數加購很划算,好吃! 全家app裡1000點+29元便宜,grounded,gpt-5.6-luna,grounding-v1
57d9cdb0cdafb79a9a13e60d43868cdfa99042f9b952f85354ef815dad90312f,一次抽到飲料、獎品和購物金,舒服 都是10罐 獎品各中1個 剛開賣機率還很不錯,ungrounded,gpt-5.6-luna,grounding-v1
586485bd37ad7811ba88873e5f35ad7579268532e4592ba37c5f05206f05fa6d,價格讓人覺得太貴,看店員掃完條碼發現這麼貴。,grounded,gpt-5.6-luna,grounding-v1
5a508516ac9483bc446fb2ea4dc641d4028a1c10f423a86acb37613fed31ca46,售價99元，讓人想跳過,99 pass,grounded,gpt-5.6-luna,grounding-v1
5b1aa81708473a7a247b2ec844bdd16729453c7af6fc97373f7dfcbc21036150,椒麻每百克蛋白質較高,椒麻(13.5)>金門(12.5)=花雕(12.5)。,ungrounded,gpt-5.6-luna,grounding-v1
5d218dae0293d4791e5b794345ffac720a711903717ddad4e31f077d741c77db,價格偏高,太貴了,grounded,gpt-5.6-luna,grounding-v1
5d4ebf8773b669ebd221a87dc263d73005f9bc243c1be2e19108080f1687f1f5,卡士達餡比較不膩,而且吃到會爆餡那種，我整個完食。,ungrounded,gpt-5.6-luna,grounding-v1
